Tipo,Producto,Fecha de inicio,Fecha de finalización,Descripción,Importe,Comisión,Divisa,State,Saldo
Pago con tarjeta,Actual,2026-01-14 15:34:09,2026-01-15 14:35:02,Cursor,-20.88,0.00,EUR,COMPLETADO,27.77
Recargas,Actual,2026-01-15 21:01:21,2026-01-15 21:01:23,Una recarga de Apple Pay con *8082,100.00,0.00,EUR,COMPLETADO,127.77
Cambio,Actual,2026-01-15 21:03:10,2026-01-15 21:03:10,Transfer to Revolut Digital Assets Europe Ltd,-2.00,0.00,EUR,COMPLETADO,125.77
Pago con tarjeta,Actual,2026-01-15 21:03:10,2026-01-16 12:29:50,DeEventoss,-15.50,0.00,EUR,COMPLETADO,110.27
Cambio,Actual,2026-01-16 21:11:26,2026-01-16 21:11:26,Transfer to Revolut Digital Assets Europe Ltd,-1.24,0.00,EUR,COMPLETADO,109.03
Pago con tarjeta,Actual,2026-01-16 21:11:26,2026-01-18 12:44:35,Uber Eats,-38.69,0.00,EUR,COMPLETADO,70.34
Cambio,Actual,2026-01-19 17:36:40,2026-01-19 17:36:40,Transfer to Revolut Digital Assets Europe Ltd,-2.80,0.00,EUR,COMPLETADO,67.54
Pago con tarjeta,Actual,2026-01-19 17:36:39,2026-01-20 13:09:39,La Vida Verde,-1.30,0.00,EUR,COMPLETADO,66.24
Cambio,Actual,2026-01-23 17:50:12,2026-01-23 17:50:12,Transfer to Revolut Digital Assets Europe Ltd,-0.20,0.00,EUR,COMPLETADO,66.04
Cambio,Actual,2026-01-23 18:05:56,2026-01-23 18:05:56,Transfer to Revolut Digital Assets Europe Ltd,-2.20,0.00,EUR,COMPLETADO,63.84
Pago con tarjeta,Actual,2026-01-23 20:36:33,2026-01-24 11:22:57,Valdebernardo,-43.26,0.00,EUR,COMPLETADO,20.58
Pago con tarjeta,Actual,2026-01-23 17:50:11,2026-01-24 11:23:42,Sociedad Estatal De Infraestructuras Del Transporte Terrestre (SEITT),-0.95,0.00,EUR,COMPLETADO,19.63
Pago con tarjeta,Actual,2026-01-23 18:05:55,2026-01-24 11:23:43,Sociedad Estatal De Infraestructuras Del Transporte Terrestre (SEITT),-1.45,0.00,EUR,COMPLETADO,18.18
Recargas,Actual,2026-01-26 13:17:27,2026-01-26 13:17:28,Una recarga de Apple Pay con *8082,100.00,0.00,EUR,COMPLETADO,118.18
Cambio,Actual,2026-01-27 07:03:15,2026-01-27 07:03:15,Transfer to Revolut Digital Assets Europe Ltd,-1.00,0.00,EUR,COMPLETADO,117.18
Pago con tarjeta,Actual,2026-01-27 07:03:14,2026-01-28 07:15:15,Delikia,-0.75,0.00,EUR,COMPLETADO,116.43
Cambio,Actual,2026-01-30 21:23:15,2026-01-30 21:23:15,Transfer to Revolut Digital Assets Europe Ltd,-0.84,0.00,EUR,COMPLETADO,115.59
Pago con tarjeta,Actual,2026-01-30 21:23:15,2026-02-01 11:38:11,Uber Eats,-38.79,0.00,EUR,COMPLETADO,76.80
Cambio,Actual,2026-02-01 12:14:29,2026-02-01 12:14:29,Transfer to Revolut Digital Assets Europe Ltd,-0.20,0.00,EUR,COMPLETADO,76.60
Cambio,Actual,2026-02-01 18:23:07,2026-02-01 18:23:07,Transfer to Revolut Digital Assets Europe Ltd,-0.40,0.00,EUR,COMPLETADO,76.20
